task,num_shots,num_prompts,model1,model2,pearsonr,spearmanr,kendalltau,hellinger
rte,100,11,deberta-v3-large,roberta-large,0.3114299719494619,0.02727272727272728,0.018181818181818184,0.1207807030583375
rte,100,11,deberta-v3-large,deberta-v3-base,0.6900358043401241,0.6636363636363638,0.4909090909090909,0.06323802243118912
rte,100,11,deberta-v3-large,xlnet-base-cased,0.4187994771721791,0.24545454545454545,0.2,0.1312562686867997
rte,100,11,deberta-v3-large,xlnet-large-cased,0.5644813869915042,0.6181818181818182,0.45454545454545453,0.08056013100129195
rte,100,11,xlnet-base-cased,bert-base-cased,0.5518056243060683,0.29157251045005134,0.18349396085439343,0.0841750265145184
rte,100,11,xlnet-base-cased,bert-base-uncased,0.49830869758294144,0.4601378680539873,0.3302891295379082,0.10865867101673089
rte,100,11,xlnet-base-cased,albert-base-v2,-0.4523363127422816,-0.4601378680539873,-0.2935903373670295,0.039295702685805664
rte,100,11,xlnet-base-cased,albert-large-v2,0.36589864718609305,0.2870166899742693,0.2201927530252721,0.05379767438492128
rte,100,11,xlnet-base-cased,roberta-base,0.43193446072170005,0.36902145853834617,0.2201927530252721,0.04230585270875161
rte,100,11,xlnet-base-cased,roberta-large,-0.15959892403321796,-0.10000000000000002,-0.05454545454545454,0.19870059042455585
rte,100,11,xlnet-base-cased,deberta-v3-base,0.3754150071108018,0.24545454545454545,0.2,0.1111150267317497
rte,100,11,xlnet-base-cased,deberta-v3-large,0.4187994771721791,0.24545454545454545,0.2,0.1312562686867997
rte,100,11,xlnet-base-cased,xlnet-large-cased,-0.3613413996539072,-0.3090909090909091,-0.2,0.14893040943663818
rte,100,11,xlnet-large-cased,bert-base-cased,-0.2087137472864368,-0.15034207570080774,-0.11009637651263605,0.2268272987958272
rte,100,11,xlnet-large-cased,bert-base-uncased,0.21960704519515545,0.13667461427346156,0.07339758434175737,0.24935107648015353
rte,100,11,xlnet-large-cased,albert-base-v2,0.7056037608008381,0.5968124823274489,0.4770842982214229,0.14537308746068517
rte,100,11,xlnet-large-cased,albert-large-v2,-0.3346923814473496,-0.39180056091725646,-0.3302891295379082,0.13642818133102422
rte,100,11,xlnet-large-cased,roberta-base,0.23937944099766661,0.2870166899742693,0.2201927530252721,0.12701437005606905
rte,100,11,xlnet-large-cased,roberta-large,0.6069656560757597,0.5181818181818182,0.41818181818181815,0.06523219882508252
rte,100,11,xlnet-large-cased,deberta-v3-base,0.3267965359700434,0.5181818181818182,0.3090909090909091,0.06762286167426534
rte,100,11,xlnet-large-cased,deberta-v3-large,0.5644813869915042,0.6181818181818182,0.45454545454545453,0.08056013100129195
rte,100,11,xlnet-large-cased,xlnet-base-cased,-0.3613413996539072,-0.3090909090909091,-0.2,0.14893040943663818
